Gen,Prom_fit,Prom_positive_fit,Prom_negative_fit
96,-408.55,901.3529411764706,-926.4186046511628
97,-838.1896551724138,583.1428571428571,-1290.4318181818182
98,-402.3666666666667,719.4782608695652,-1099.7297297297298
99,-487.1166666666667,439.5238095238095,-986.0769230769231
100,-438.3,668.0,-875.6744186046511
101,-263.6166666666667,657.0,-658.1666666666666
102,-312.5,845.2,-891.35
103,-438.15,586.6315789473684,-913.0487804878048
104,-276.68333333333334,706.35,-787.8974358974359
105,-415.48333333333335,785.5625,-852.2272727272727
106,-551.1666666666666,814.7,-1234.1
107,-284.8833333333333,837.2777777777778,-765.8095238095239
108,-548.5333333333333,722.0,-972.0444444444445
109,-388.6166666666667,796.2631578947369,-937.7073170731708
110,-256.3333333333333,625.1363636363636,-766.6578947368421
111,-567.9833333333333,769.8,-1013.9111111111112
112,-353.25,840.35,-950.05
113,-52.35,759.6086956521739,-557.081081081081
114,-88.65,681.7931034482758,-809.3870967741935
115,-427.6166666666667,612.3684210526316,-909.560975609756
116,-461.8666666666667,520.7857142857143,-760.9347826086956
595,-477.81666666666666,852.8333333333334,-1808.4666666666667
596,-589.85,748.3913043478261,-1421.7297297297298
597,-805.7666666666667,735.8333333333334,-1833.5
598,-812.05,642.2173913043479,-1716.054054054054
599,-502.81666666666666,811.56,-1441.6571428571428
600,-785.2833333333333,587.4117647058823,-1327.9767441860465
601,-678.4,928.2105263157895,-1422.9268292682927
602,-478.6666666666667,904.75,-1400.9444444444443
603,-246.1,793.6470588235294,-657.1627906976744
604,-389.3666666666667,505.63157894736844,-804.1219512195122
605,-276.9166666666667,699.5714285714286,-802.7179487179487
606,-314.1,757.0434782608696,-979.9459459459459
607,-406.15,558.8846153846154,-1144.1176470588234
608,-512.5166666666667,582.9473684210526,-1020.170731707317
609,-253.16666666666666,726.8636363636364,-820.5526315789474
610,-528.7166666666667,683.5625,-969.5454545454545
611,-554.2333333333333,491.95238095238096,-1117.5641025641025
612,-337.3666666666667,917.6190476190476,-1013.1282051282051
613,-329.68333333333334,676.5,-635.9130434782609
614,-264.31666666666666,645.3333333333334,-754.1282051282051
615,-253.81666666666666,806.0,-824.4871794871794
616,-290.3833333333333,693.12,-992.8857142857142
617,-323.81666666666666,696.6190476190476,-873.2820512820513
618,-229.76666666666668,651.0769230769231,-903.3529411764706
619,-232.93333333333334,792.5909090909091,-826.6578947368421
620,-166.46666666666667,610.8965517241379,-893.6774193548387
621,-25.316666666666666,604.75,-576.625
622,-390.75,554.578947368421,-828.829268292683
623,-254.08333333333334,691.1,-726.675
624,-284.3666666666667,785.8235294117648,-707.4651162790698
625,-23.9,640.5862068965517,-645.516129032258
626,-228.58333333333334,600.3684210526316,-612.7317073170732
627,-214.18333333333334,717.125,-835.0555555555555
628,-83.03333333333333,1010.8571428571429,-672.0512820512821
629,-216.43333333333334,867.8571428571429,-800.2820512820513
630,-193.78333333333333,867.6923076923077,-1005.5
631,-558.5,1521.8823529411766,-1380.9767441860465
632,-456.46666666666664,646.9,-1008.15
633,-247.9,677.6923076923077,-955.7058823529412
634,-2.1333333333333333,719.6551724137931,-677.3548387096774
635,-125.75,690.16,-708.5428571428571
636,-115.58333333333333,754.0714285714286,-876.53125
637,-235.71666666666667,946.0,-826.575
638,-174.58333333333334,822.9090909090909,-752.078947368421
639,-143.35,817.1363636363636,-699.421052631579
640,-53.166666666666664,745.7727272727273,-515.7105263157895
641,16.966666666666665,653.3333333333334,-503.6969696969697
642,-146.56666666666666,751.6470588235294,-501.6744186046512
643,140.73333333333332,821.8620689655172,-496.4516129032258
644,-113.31666666666666,656.1578947368421,-469.9024390243902
645,-199.08333333333334,671.8888888888889,-572.3571428571429
646,53.483333333333334,813.0,-527.3235294117648
647,-115.91666666666667,841.6470588235294,-494.48837209302326
648,-315.68333333333334,655.8333333333334,-732.047619047619
649,-42.516666666666666,714.3636363636364,-480.7105263157895
