NumGen,Prom_damage
396,32.0
397,29.051546391752577
398,26.29
399,17.25
400,14.57
401,17.06
402,24.14
403,20.81
404,17.26
405,22.34
406,17.99
407,16.55
408,19.32
409,19.9
410,18.12
411,15.39
412,27.82
413,21.26
414,20.05
415,19.72
416,15.07
417,23.07
418,17.64
419,19.3
420,18.36
421,21.85
422,20.11
423,17.01
424,19.75
425,19.21
426,20.57
427,25.64
428,16.08
429,18.27
430,14.07
431,15.5
432,13.59
433,19.91
434,22.66
435,19.81
436,17.64
437,14.34
438,14.58
439,18.38
440,14.14
441,17.32
442,21.74
443,16.37
444,21.47
445,18.96
446,15.54
447,16.3
448,13.81
449,18.61
450,12.53
451,13.75
452,17.67
453,9.26
454,16.31
455,19.07
456,22.28
457,23.14
458,15.19
459,23.24
460,21.73
461,25.33
462,20.9
463,23.32
464,18.31
465,18.88
466,22.6
467,22.12
468,27.74
469,20.94
470,22.96
471,24.34
472,26.15
473,20.23
474,21.18
475,20.54
476,20.6
477,14.62
478,18.18
479,19.49
480,14.05
481,19.02
482,17.19
483,16.73
484,18.79
485,14.14
486,16.33
487,18.99
488,10.88
489,15.61
490,14.09
491,10.69
492,12.92
493,12.6
494,11.38
495,10.54
