Gen,Prom_fit,Prom_positive_fit,Prom_negative_fit
147,-1424.08,417.4,-1628.6888888888889
148,-1035.7,712.6,-1472.775
149,-1285.94,484.6470588235294,-1648.5903614457832
150,-948.24,461.94736842105266,-1279.0246913580247
151,-1094.55,581.6153846153846,-1345.0114942528735
152,-958.33,489.92857142857144,-1194.093023255814
153,-823.25,967.6153846153846,-1090.8505747126437
154,-970.04,373.6666666666667,-1153.2727272727273
155,-796.32,450.57894736842104,-1088.8024691358025
156,-888.75,471.92857142857144,-1110.2558139534883
157,-818.52,487.3529411764706,-1085.987951807229
158,-828.77,430.2173913043478,-1204.8311688311687
159,-1027.75,484.8235294117647,-1337.55421686747
160,-824.74,680.1764705882352,-1132.9759036144578
161,-924.61,413.4347826086956,-1324.2857142857142
162,-751.54,407.3157894736842,-1023.3703703703703
163,-878.36,409.90909090909093,-1241.7179487179487
164,-1082.94,489.5263157894737,-1451.79012345679
165,-1024.37,544.8823529411765,-1345.7831325301204
166,-978.7,391.9230769230769,-1197.2674418604652
167,-939.48,1158.0,-1198.7191011235955
168,-951.3,386.3529411764706,-1225.2771084337348
169,-894.46,442.8235294117647,-1168.3614457831325
170,-862.01,472.38461538461536,-1330.8513513513512
171,-1220.1,458.0,-1427.5056179775281
172,-1018.03,548.5454545454545,-1211.6516853932585
173,-776.72,843.375,-1085.3095238095239
174,-1183.54,412.57142857142856,-1303.6774193548388
175,-1033.05,602.3571428571429,-1299.2790697674418
176,-854.31,427.04545454545456,-1215.7179487179487
177,-964.82,520.05,-1336.0375
178,-903.68,606.5,-1149.5232558139535
179,-847.37,505.0,-997.6333333333333
180,-973.54,578.7,-1158.887640449438
181,-927.58,561.0,-1111.561797752809
182,-921.45,527.1666666666666,-1118.9886363636363
183,-828.95,415.75,-998.6818181818181
184,-799.71,292.46153846153845,-962.9080459770115
185,-682.59,460.0,-853.3218390804598
186,-727.79,342.0,-962.6219512195122
187,-933.99,493.14285714285717,-1166.3139534883721
188,-677.98,1043.6818181818182,-1163.576923076923
189,-964.26,998.6315789473684,-1442.5
190,-725.74,680.6521739130435,-1145.8311688311687
191,-1138.82,939.5714285714286,-1477.1627906976744
192,-959.08,710.6,-1253.729411764706
193,-1067.35,676.9375,-1399.595238095238
194,-997.23,647.2941176470588,-1334.0602409638554
195,-897.69,659.1333333333333,-1172.4235294117648
196,-1071.62,848.2352941176471,-1464.8433734939758
197,-1094.4,1193.4444444444443,-1596.6097560975609
198,-1128.25,864.5,-1399.9886363636363
199,-912.83,846.421052631579,-1325.4938271604938
200,-995.81,688.7222222222222,-1365.5853658536585
201,-888.91,812.5384615384615,-1143.1494252873563
202,-1008.31,1217.6,-1401.1176470588234
203,-1112.37,815.4666666666667,-1452.5764705882352
204,-834.84,767.4705882352941,-1163.0240963855422
205,-1170.05,800.5333333333333,-1517.8
206,-1047.88,733.5,-1387.1904761904761
207,-1189.48,511.3,-1614.675
208,-1102.56,541.0555555555555,-1463.3536585365853
209,-1082.74,705.8125,-1423.4166666666667
210,-1354.72,510.26666666666665,-1683.835294117647
